city,date,price_local,currency,hpi
New York,2019-01,432541.994842799,USD,201.596706685941
New York,2019-02,433734.61280429666,USD,202.15255526536
New York,2019-03,431017.3043780017,USD,200.886087647597
New York,2019-04,430556.5102660349,USD,200.67132335525
New York,2019-05,430564.7302558302,USD,200.675154481225
New York,2019-06,429945.17618041625,USD,200.386396250333
New York,2019-07,429514.3532648127,USD,200.185600762297
New York,2019-08,430946.7904447204,USD,200.85322291563
New York,2019-09,432272.45966289804,USD,201.47108326613
New York,2019-10,433883.0031945669,USD,202.221716212364
New York,2019-11,434331.8929966962,USD,202.430932211858
New York,2019-12,435940.73121766653,USD,203.180770356605
New York,2020-01,436921.89784460916,USD,203.638066903669
New York,2020-02,440480.64405433333,USD,205.296707045818
New York,2020-03,439428.71569311834,USD,204.806430273114
New York,2020-04,438974.6893039165,USD,204.594820242405
New York,2020-05,437796.7890463805,USD,204.045831206531
New York,2020-06,437330.71912931453,USD,203.828607997025
New York,2020-07,438988.6544453718,USD,204.601329035908
New York,2020-08,446106.9974822165,USD,207.919005771112
New York,2020-09,454200.59102629346,USD,211.691221702038
New York,2020-10,463538.86489498924,USD,216.043551141737
New York,2020-11,473433.3377748454,USD,220.655110645219
New York,2020-12,481547.60722714,USD,224.436963085557
New York,2021-01,489109.6287723236,USD,227.961426970159
New York,2021-02,495251.6761720373,USD,230.824077401457
New York,2021-03,498950.1800567982,USD,232.547855003916
New York,2021-04,503787.28476850863,USD,234.802305187719
New York,2021-05,509541.9291472908,USD,237.484397027918
New York,2021-06,513941.7833501156,USD,239.535055987657
New York,2021-07,519378.6766523168,USD,242.069052217838
New York,2021-08,524231.01667433616,USD,244.330603188201
New York,2021-09,528807.7903307469,USD,246.463719758107
New York,2021-10,533576.796232375,USD,248.686430836793
New York,2021-11,539392.3563809755,USD,251.396913951659
New York,2021-12,546824.271687553,USD,254.860738662412
New York,2022-01,553762.742417045,USD,258.094581538202
New York,2022-02,563055.687870806,USD,262.425784568722
New York,2022-03,569696.5643259916,USD,265.520926401968
New York,2022-04,577872.8442129699,USD,269.331680312132
New York,2022-05,584438.4594807893,USD,272.391744840295
New York,2022-06,589843.0875829005,USD,274.910703089988
New York,2022-07,590842.2970089155,USD,275.376408921967
New York,2022-08,590826.8741978102,USD,275.369220746105
New York,2022-09,588355.325406942,USD,274.217295377948
New York,2022-10,587591.0646096936,USD,273.861093063233
New York,2022-11,588160.8827145685,USD,274.126670636561
New York,2022-12,588289.3854418742,USD,274.186562455006
New York,2023-01,589541.1640945231,USD,274.769984312034
New York,2023-02,589859.3857039672,USD,274.918299225326
New York,2023-03,593167.7681705906,USD,276.460251261616
New York,2023-04,597134.7650129052,USD,278.309166530837
New York,2023-05,603985.2197709911,USD,281.501987424524
New York,2023-06,608703.378267412,USD,283.700999834513
New York,2023-07,614505.3457995057,USD,286.40514778018
New York,2023-08,621013.778963102,USD,289.438561199248
New York,2023-09,627515.788885731,USD,292.46898091079
New York,2023-10,632235.5423603836,USD,294.668736699139
New York,2023-11,635445.2752617786,USD,296.164710708548
New York,2023-12,637988.9216099251,USD,297.350238895115
New York,2024-01,640000.0000000001,USD,298.287550844383
New York,2024-02,646714.3416837911,USD,301.416932932493
New York,2024-03,650801.6594092252,USD,303.321926672872
New York,2024-04,655414.7257415043,USD,305.471958326213
New York,2024-05,661860.7090299698,USD,308.476265463557
New York,2024-06,664694.0942815554,USD,309.796833506204
New York,2024-07,668792.4108871485,USD,311.706953541934
New York,2024-08,671750.5556004728,USD,313.085668763154
New York,2024-09,676081.6003621994,USD,315.104257410924
New York,2024-10,679841.2790923088,USD,316.856547036496
New York,2024-11,683541.7674677456,USD,318.581249559054
New York,2024-12,686573.9761089517,USD,319.994484073483
