city,date,price_local,currency,hpi,income,median_multiple,country,rate,monthly_payment,mdsr
London,2019-01,503232.0,GBP,88.2,,,UK,1.72,2065.040395628036,
London,2019-02,498951.0,GBP,87.4,,,UK,1.7,2042.713001518923,
London,2019-03,496910.0,GBP,87.0,,,UK,1.7,2034.357116399743,
London,2019-04,502664.0,GBP,88.1,,,UK,1.66,2048.343617841451,
London,2019-05,496339.0,GBP,86.9,,,UK,1.65,2020.2111121381697,
London,2019-06,503716.0,GBP,88.2,47000.0,10.71736170212766,UK,1.64,2047.845538869329,0.5228541801368499
London,2019-07,512265.0,GBP,89.7,47204.91803278688,10.85194130925508,UK,1.61,2075.315144960575,0.5275675242615526
London,2019-08,506081.0,GBP,88.7,47416.666666666664,10.673061511423551,UK,1.59,2045.4720269338168,0.5176590015438833
London,2019-09,510810.0,GBP,89.5,47628.41530054645,10.724900183570446,UK,1.55,2054.936693344659,0.5177421957990903
London,2019-10,506016.0,GBP,88.6,47833.333333333336,10.578731707317072,UK,1.47,2016.6170780348991,0.505910904594121
London,2019-11,501829.0,GBP,87.9,48045.08196721312,10.444960846199775,UK,1.41,1985.8454984710074,0.4959955318197653
London,2019-12,512959.0,GBP,89.9,48250.0,10.631274611398965,UK,1.42,2032.284517582694,0.5054386364972503
London,2020-01,509527.0,GBP,89.3,48461.74863387978,10.514003608276484,UK,1.41,2016.3081434102794,0.49927413688098027
London,2020-02,507956.0,GBP,89.0,48673.497267759565,10.435987313705128,UK,1.4,2007.7212472161916,0.4949850805677124
London,2020-03,516654.0,GBP,90.5,48871.58469945355,10.571664560854252,UK,1.4,2042.1005229965474,0.5014203330352119
London,2020-04,509754.0,GBP,89.3,49083.333333333336,10.385480475382003,UK,1.38,2010.0761676730438,0.49142778971972545
London,2020-05,506613.0,GBP,88.7,49288.25136612022,10.278575237672884,UK,1.42,2007.1423959928986,0.48867038461159185
London,2020-06,513833.0,GBP,90.0,49500.0,10.380464646464649,UK,1.41,2033.3479133646185,0.49293282748233175
London,2020-07,517966.0,GBP,90.7,49582.191780821915,10.446613620665838,UK,1.45,2059.3880818265434,0.49841800239813566
London,2020-08,523954.0,GBP,91.8,49667.12328767123,10.549312408638333,UK,1.6,2120.189677910698,0.5122558837878951
London,2020-09,528003.0,GBP,92.5,49752.05479452055,10.612687298659104,UK,1.75,2174.2588867779305,0.5244226946825262
London,2020-10,520515.0,GBP,91.2,49834.24657534246,10.444925643915449,UK,1.94,2191.0526049805076,0.5276016608381002
London,2020-11,529444.0,GBP,92.7,49919.17808219178,10.606023983974096,UK,1.92,2223.508247561715,0.5345059753750069
London,2020-12,529060.0,GBP,92.7,50001.3698630137,10.580910112051724,UK,1.86,2206.559618341551,0.5295597999143034
London,2021-01,529101.0,GBP,92.7,50086.30136986302,10.5637866148839,UK,1.75,2178.780331272909,0.5220062823606018
London,2021-02,525153.0,GBP,92.0,50171.232876712325,10.467213378839592,UK,1.61,2127.5276943017393,0.5088639618316242
London,2021-03,534311.0,GBP,93.6,50247.94520547945,10.633489544996047,UK,1.56,2151.9993092725017,0.5139312981987163
London,2021-04,523423.0,GBP,91.7,50332.87671232877,10.3992267914977,UK,1.49,2090.900323089025,0.49849731459760654
London,2021-05,522672.0,GBP,91.6,50415.06849315069,10.36737657256202,UK,1.47,2082.995955484919,0.495803183709151
London,2021-06,538199.0,GBP,94.3,50500.0,10.65740594059406,UK,1.39,2124.748821583055,0.5048908090890428
