city,date,price_local,currency,hpi,income,median_multiple
New York,2021-10,533576.796232375,USD,248.686430836793,75979.11232876712,7.02267741591333
New York,2021-11,539392.3563809755,USD,251.396913951659,76423.5589041096,7.057932974016082
New York,2021-12,546824.271687553,USD,254.860738662412,76853.66849315069,7.115135587005672
New York,2022-01,553762.742417045,USD,258.094581538202,77298.11506849315,7.163987659031025
New York,2022-02,563055.687870806,USD,262.425784568722,77742.56164383562,7.242566696610155
New York,2022-03,569696.5643259916,USD,265.520926401968,78143.99726027397,7.290343267551377
New York,2022-04,577872.8442129699,USD,269.331680312132,78588.44383561643,7.3531529065737375
New York,2022-05,584438.4594807893,USD,272.391744840295,79018.55342465754,7.396218155752984
New York,2022-06,589843.0875829005,USD,274.910703089988,79463.0,7.422864573234091
New York,2022-07,590842.2970089155,USD,275.376408921967,79675.79452054795,7.415580861971078
New York,2022-08,590826.8741978102,USD,275.369220746105,79895.68219178083,7.3949787771959326
New York,2022-09,588355.325406942,USD,274.217295377948,80115.5698630137,7.343832496142092
New York,2022-10,587591.0646096936,USD,273.861093063233,80328.36438356164,7.314864047324459
New York,2022-11,588160.8827145685,USD,274.126670636561,80548.25205479452,7.301969536402362
New York,2022-12,588289.3854418742,USD,274.186562455006,80761.04657534247,7.284320973887522
New York,2023-01,589541.1640945231,USD,274.769984312034,80980.93424657534,7.279999540378908
New York,2023-02,589859.3857039672,USD,274.918299225326,81200.82191780822,7.264204619763887
New York,2023-03,593167.7681705906,USD,276.460251261616,81399.4301369863,7.287124334560506
New York,2023-04,597134.7650129052,USD,278.309166530837,81619.31780821917,7.316096005800884
New York,2023-05,603985.2197709911,USD,281.501987424524,81832.11232876712,7.380784909283921
New York,2023-06,608703.378267412,USD,283.700999834513,82052.0,7.418507510693365
New York,2023-07,614505.3457995057,USD,286.40514778018,82356.59016393442,7.461520014079088
New York,2023-08,621013.778963102,USD,289.438561199248,82671.33333333333,7.51183939974883
New York,2023-09,627515.788885731,USD,292.46898091079,82986.07650273223,7.561699689044471
New York,2023-10,632235.5423603836,USD,294.668736699139,83290.66666666667,7.590712953356721
New York,2023-11,635445.2752617786,USD,296.164710708548,83605.40983606558,7.600528201557373
New York,2023-12,637988.9216099251,USD,297.350238895115,83910.0,7.603252551661603
New York,2024-01,640000.0000000001,USD,298.287550844383,84224.7431693989,7.59871714553983
New York,2024-02,646714.3416837911,USD,301.416932932493,84539.48633879781,7.64984943357757
New York,2024-03,650801.6594092252,USD,303.321926672872,84833.92349726777,7.671478962424572
New York,2024-04,655414.7257415043,USD,305.471958326213,85148.66666666667,7.697298752865627
New York,2024-05,661860.7090299698,USD,308.476265463557,85453.2568306011,7.745295306204821
New York,2024-06,664694.0942815554,USD,309.796833506204,85768.0,7.749907824381534
New York,2024-07,668792.4108871485,USD,311.706953541934,85768.0,7.7976915736305905
New York,2024-08,671750.5556004728,USD,313.085668763154,85768.0,7.832181648172662
New York,2024-09,676081.6003621994,USD,315.104257410924,85768.0,7.882678858807473
New York,2024-10,679841.2790923088,USD,316.856547036496,85768.0,7.926514307111146
