"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Percentage change (yearly) All property types","Percentage change (monthly) All property types","House price index All property types","Sales volume All property types","Average price Detached houses","Percentage change (yearly) Detached houses","Percentage change (monthly) Detached houses","House price index Detached houses","Average price Semi-detached houses","Percentage change (yearly) Semi-detached houses","Percentage change (monthly) Semi-detached houses","House price index Semi-detached houses","Average price Terraced houses","Percentage change (yearly) Terraced houses","Percentage change (monthly) Terraced houses","House price index Terraced houses","Average price Flats and maisonettes","Percentage change (yearly) Flats and maisonettes","Percentage change (monthly) Flats and maisonettes","House price index Flats and maisonettes","Average price First-time buyers","Percentage change (yearly) First-time buyers","Percentage change (monthly) First-time buyers","House price index First-time buyers","Average price Former owner-occupiers","Percentage change (yearly) Former owner-occupiers","Percentage change (monthly) Former owner-occupiers","House price index Former owner-occupiers","Average price Cash purchases","Percentage change (yearly) Cash purchases","Percentage change (monthly) Cash purchases","House price index Cash purchases","Sales volume Cash purchases","Average price Mortgage purchases","Percentage change (yearly) Mortgage purchases","Percentage change (monthly) Mortgage purchases","House price index Mortgage purchases","Sales volume Mortgage purchases","Average price New build","Percentage change (yearly) New build","Percentage change (monthly) New build","House price index New build","Sales volume New build","Average price Existing properties","Percentage change (yearly) Existing properties","Percentage change (monthly) Existing properties","House price index Existing properties","Sales volume Existing properties","Pivotable date"
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2023-10,6242,monthly,555122,-3.3,-1.9,97.2,6242,1121185,-4.6,-2.4,95.3,686504,-4.0,-1.8,96.0,615130,-3.9,-2.6,97.3,451271,-2.5,-1.4,97.8,476257,-3.4,-1.9,97.3,689570,-3.2,-1.9,97.1,605313,-2.3,-1.4,97.4,1572,544007,-3.5,-2.0,97.2,4395,499241,1.2,-0.2,98.7,301,557651,-3.5,-1.9,97.2,5941,2023-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2023-11,6023,monthly,547757,-4.8,-1.3,96.0,6023,1122469,-5.4,0.1,95.4,683330,-4.9,-0.5,95.6,607555,-5.3,-1.2,96.1,443076,-4.4,-1.8,96.0,469997,-4.8,-1.3,96.0,680300,-4.9,-1.3,95.8,593918,-5.0,-1.9,95.5,1560,537498,-4.8,-1.2,96.0,4128,497047,0.4,-0.4,98.3,285,550041,-5.1,-1.4,95.9,5738,2023-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2023-12,5479,monthly,549112,-4.1,0.2,96.2,5479,1112849,-5.5,-0.9,94.6,680704,-4.9,-0.4,95.2,609446,-4.2,0.3,96.4,445438,-3.5,0.5,96.5,472159,-4.0,0.5,96.5,679942,-4.3,-0.1,95.8,595906,-4.1,0.3,95.9,1401,538718,-4.0,0.2,96.3,3762,488122,0.1,-1.8,96.5,263,551889,-4.3,0.3,96.2,5216,2023-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2024-01,5102,monthly,551097,-3.5,0.4,96.5,5102,1114674,-5.2,0.2,94.8,683824,-4.4,0.5,95.6,612914,-3.0,0.6,97.0,446441,-3.2,0.2,96.8,472823,-3.4,0.1,96.6,684528,-3.6,0.7,96.4,600366,-3.4,0.7,96.6,1252,540178,-3.5,0.3,96.5,3522,503566,-0.4,3.2,99.6,267,553230,-3.6,0.2,96.4,4835,2024-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2024-02,5582,monthly,546247,-3.1,-0.9,95.7,5582,1099375,-5.5,-1.4,93.5,677985,-3.6,-0.9,94.8,608497,-2.3,-0.7,96.3,442297,-3.2,-0.9,95.9,469360,-3.0,-0.7,95.9,677037,-3.3,-1.1,95.4,591747,-3.5,-1.4,95.2,1303,536319,-3.0,-0.7,95.8,3888,500073,-1.5,-0.7,98.9,364,548321,-3.2,-0.9,95.6,5218,2024-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2024-03,5952,monthly,547437,-1.4,0.2,95.9,5952,1099755,-3.9,0.0,93.5,669457,-3.1,-1.3,93.6,606355,-0.3,-0.4,95.9,446831,-1.3,1.0,96.8,470846,-1.3,0.3,96.2,677539,-1.6,0.1,95.4,596018,-1.8,0.7,95.9,1361,536687,-1.3,0.1,95.9,4183,500421,-1.7,0.1,99.0,428,549547,-1.4,0.2,95.8,5524,2024-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2024-04,5730,monthly,548467,-1.6,0.2,96.1,5730,1108170,-3.4,0.8,94.2,680119,-1.9,1.6,95.1,608973,-1.1,0.4,96.3,444870,-1.6,-0.4,96.4,470404,-1.6,-0.1,96.1,681606,-1.5,0.6,96.0,596164,-1.8,0.0,95.9,1394,537959,-1.5,0.2,96.1,3943,489017,-3.1,-2.3,96.7,272,551119,-1.5,0.3,96.0,5458,2024-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2024-05,6785,monthly,553592,-0.2,0.9,97.0,6785,1106213,-1.9,-0.2,94.0,681688,-0.3,0.2,95.3,614656,0.6,0.9,97.2,450513,-0.6,1.3,97.6,475716,-0.1,1.1,97.2,686047,-0.4,0.7,96.6,600030,-1.3,0.6,96.5,1517,543443,0.0,1.0,97.1,4839,500272,-1.3,2.3,98.9,352,555976,-0.2,0.9,96.9,6433,2024-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2024-06,6287,monthly,556853,0.1,0.6,97.5,6287,1117563,-1.9,1.0,95.0,685162,-0.3,0.5,95.8,618622,0.3,0.6,97.9,452934,0.4,0.5,98.2,478986,0.5,0.7,97.9,689107,-0.4,0.4,97.1,605102,-0.7,0.8,97.3,1376,546231,0.3,0.5,97.6,4534,496262,1.7,-0.8,98.1,410,559555,0.1,0.6,97.5,5877,2024-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2024-07,7834,monthly,557831,-0.3,0.2,97.7,7834,1131093,-1.5,1.2,96.2,698511,-0.5,1.9,97.7,628695,0.4,1.6,99.5,447128,-0.5,-1.3,96.9,477503,-0.3,-0.3,97.6,695211,-0.3,0.9,97.9,600549,-0.8,-0.8,96.6,1646,548704,-0.2,0.5,98.1,5695,494751,-0.3,-0.3,97.8,288,560643,-0.3,0.2,97.7,7546,2024-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2024-08,8392,monthly,567121,1.2,1.7,99.3,8392,1144551,-1.2,1.2,97.3,703166,0.4,0.7,98.3,636941,1.5,1.3,100.8,457091,1.5,2.2,99.1,486352,1.5,1.9,99.4,704895,0.7,1.4,99.3,613580,0.8,2.2,98.7,1703,557024,1.3,1.5,99.5,6115,504123,2.3,1.9,99.7,321,569930,1.1,1.7,99.3,8071,2024-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2024-09,7402,monthly,566882,0.2,0.0,99.3,7402,1169749,1.8,2.2,99.4,711215,1.7,1.1,99.5,637408,0.9,0.1,100.8,453901,-0.8,-0.7,98.4,485254,0.0,-0.2,99.2,706485,0.5,0.2,99.5,612215,-0.2,-0.2,98.5,1503,557088,0.4,0.0,99.5,5347,499806,-0.1,-0.9,98.8,355,569872,0.2,0.0,99.3,7047,2024-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2024-10,8981,monthly,560909,1.0,-1.1,98.3,8981,1148653,2.4,-1.8,97.7,702839,2.4,-1.2,98.3,627946,2.1,-1.5,99.3,450756,-0.1,-0.7,97.7,481246,1.0,-0.8,98.3,696708,1.0,-1.4,98.1,604586,-0.1,-1.2,97.3,1912,551537,1.4,-1.0,98.6,6406,504561,1.1,1.0,99.8,406,563426,1.0,-1.1,98.2,8575,2024-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2024-11,7652,monthly,559925,2.2,-0.2,98.1,7652,1145265,2.0,-0.3,97.4,702077,2.7,-0.1,98.2,628742,3.5,0.1,99.5,449157,1.4,-0.4,97.4,480145,2.2,-0.2,98.1,696028,2.3,-0.1,98.0,604169,1.7,-0.1,97.2,1506,550395,2.4,-0.2,98.4,5544,499749,0.5,-1.0,98.8,368,562610,2.3,-0.1,98.0,7284,2024-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2024-12,6862,monthly,556882,1.4,-0.5,97.5,6862,1142262,2.6,-0.3,97.1,694670,2.1,-1.1,97.1,627192,2.9,-0.2,99.2,446546,0.2,-0.6,96.8,478183,1.3,-0.4,97.7,690881,1.6,-0.7,97.3,599167,0.5,-0.8,96.4,1332,547869,1.7,-0.5,97.9,4941,497415,1.9,-0.5,98.4,392,559535,1.4,-0.5,97.5,6470,2024-12-01
